date,open,high,low,close,volume,ret,vol_change,vol_amp,vol_ratio,valuation,sentiment,lp_score,freq
2023-01-03,2.84,2.98,2.71,2.92,32303994,,0.0,,,,,,daily
2023-01-04,2.92,3.29,2.9,3.24,87675325,0.1095890410958904,1.7140707430790139,1.5524285656408656,,,,,daily
2023-01-05,3.27,3.32,3.13,3.25,31907176,0.0030864197530864335,-0.6360757601982086,1.5705641534263257,,,,,daily
2023-01-06,3.41,3.54,3.29,3.47,101002047,0.06769230769230772,2.0,1.6581757786076736,,,,,daily
2023-01-09,3.5,3.59,3.37,3.44,33085108,-0.008645533141210415,-0.6724313122089496,1.6426548937143544,,,,,daily
2023-01-10,3.44,3.54,3.32,3.4,24752712,-0.011627906976744207,-0.2518473265978155,0.8596355827128357,0.5041462791045456,1.0442021636240701,0.9090909090909086,,daily
2023-01-11,3.36,3.52,3.31,3.33,28020000,-0.020588235294117574,0.1319971726734428,0.745622476492698,0.07939498429589739,1.0228812925424489,0.8090909090909089,0.8112113195972943,daily
2023-01-12,3.37,3.39,3.12,3.15,40025791,-0.05405405405405406,0.4284721984296931,0.8947214852113436,0.2695175563487944,0.9865559437664553,0.5818181818181817,0.8001386278953431,daily
2023-01-13,3.16,3.22,3.03,3.12,36714000,-0.00952380952380949,-0.08274142539743934,1.0058099498597557,0.5077148884874335,0.9597700550909678,0.3909090909090909,0.8190986554232236,daily
2023-01-16,3.15,3.3,3.11,3.15,36650249,0.009615384615384581,-0.0017364220733234736,1.028237897045516,0.4950907479460914,0.9639171597583414,0.3909090909090909,0.821445115952525,daily
2023-01-17,3.19,3.2,3.07,3.16,19907324,0.0031746031746031633,-0.45682977488092924,0.9061232179235916,0.26330001256913005,0.9680958469106822,0.26623376623376616,0.7306589567953543,daily
2023-01-18,3.18,3.22,2.93,2.97,51345662,-0.060126582278481,1.579234758021721,1.1848870185494131,0.9504989177758291,0.9408008991318924,0.057142857142857176,0.9131845956384546,daily
2023-01-19,2.96,3.11,2.91,3.08,15926000,0.03703703703703698,-0.6898277404622809,1.1681885452611893,1.9513303483418594,0.9349916147548218,0.10999999999999988,1.1768885660996888,daily
2023-01-20,3.08,3.17,2.99,3.15,17293090,0.022727272727272707,0.08584013562727622,0.7046161307133764,1.2131804687126864,0.9701811738107604,0.30148936170212737,1.0356047024172406,daily
2023-01-26,3.19,3.33,3.16,3.32,17245540,0.053968253968254,-0.0027496531851739503,0.7001490798982416,0.41820797083876315,1.0144783245498754,0.5984661058881738,0.8203545908332923,daily
2023-01-27,3.32,3.41,3.25,3.35,14008000,0.009036144578313365,-0.1877320165097759,0.658443207020617,0.7377773856801538,1.048581622753192,0.9069767441860463,0.7876804153722168,daily
2023-01-30,3.29,3.31,3.12,3.13,27127109,-0.06567164179104479,0.9365440462592804,0.7895472766285534,1.080882550094091,1.0226278591217088,0.7105263157894733,0.9874292435122256,daily
2023-01-31,3.12,3.17,3.01,3.06,32393425,-0.022364217252396124,0.19413480441281084,1.111717300941514,0.9670695578143214,0.9814353441314844,0.3289473684210521,1.076600334247054,daily
2023-02-01,3.12,3.12,2.97,3.01,39512120,-0.016339869281045805,0.2197574044732844,1.2983296319405893,0.40056664623252386,0.9654733735415514,0.17105263157894668,0.9628876046172079,daily
2023-02-02,3.05,3.07,2.9,2.93,32288499,-0.026578073089700838,-0.1828203852387571,1.2221793813981732,0.1415099103140553,0.9497588874952854,0.0526315789473679,0.8258487232015357,daily
2023-02-03,2.9,2.9,2.8,2.85,27589676,-0.027303754266211677,-0.1455262135288482,1.0219708765386688,0.09976265719797557,0.9320665233863803,0.0,0.7076497556627013,daily
2023-02-06,2.84,2.86,2.75,2.81,18696003,-0.01403508771929829,-0.3223551084833327,0.8212374646636438,0.1438210818980662,0.9197163246412998,0.0,0.6087288538923168,daily
2023-02-07,2.85,3.0,2.81,2.91,31199370,0.03558718861209975,0.6687721969235885,0.8464839020958062,0.7340994021072069,0.9345404110867266,0.09259259259259267,0.7093253981330521,daily
2023-02-08,2.96,2.99,2.69,2.79,57370550,-0.04123711340206193,0.8388368098458399,1.2901274669319795,1.5459884585284125,0.9392697226847813,0.09259259259259267,1.0883056603042764,daily
2023-02-09,2.78,3.03,2.75,2.99,43904000,0.07168458781362008,-0.23472931669645836,1.4785859972125306,1.9886979586462001,0.9637064719529145,0.17857142857142871,1.3466677389714692,daily
2023-02-10,2.98,3.0,2.9,2.98,25745648,-0.0033444816053512794,-0.4135922011661808,1.1415870662763112,1.7427227237932557,1.0069438517746752,0.45798319327731113,1.2958440957816217,daily
2023-02-13,2.86,2.98,2.76,2.94,44374849,-0.01342281879194629,0.7235864096331932,1.1359006932259865,0.7974656646975473,1.0079912401127131,0.5571895424836599,1.162786158573942,daily
2023-02-14,2.92,2.99,2.87,2.89,17200000,-0.017006802721088343,-0.6123930472416932,1.0244022953304546,0.12910052764278973,0.9987842776754402,0.5050505050505053,0.9119215061275147,daily
2023-02-15,2.91,2.91,2.79,2.82,14196794,-0.02422145328719738,-0.174605,0.6337957518455235,0.1040986927179592,0.9842840858167485,0.3022727272727272,0.6416539154736106,daily
2023-02-16,2.79,2.96,2.79,2.89,29784000,0.024822695035461084,1.097938450047243,0.8580023065995107,0.5366488493328442,0.9882400824219832,0.32499999999999946,0.7530866373936225,daily
2023-02-17,2.85,2.92,2.78,2.8,12001151,-0.03114186851211087,-0.5970604687080312,0.9218140179298796,1.0083316615296514,0.9862933387049124,0.27499999999999947,0.8827295322483827,daily
2023-02-20,2.81,2.91,2.75,2.89,14106000,0.03214285714285725,0.17538726077190425,0.7513071692408475,1.1786530047157293,0.9857737682165162,0.27499999999999947,0.8832531574678857,daily
2023-02-21,2.9,3.08,2.89,2.94,34972000,0.01730103806228378,1.4792286970083652,1.2949766587715434,0.8579066557292909,1.0081230556515728,0.6249999999999994,1.1282265938895604,daily
2023-02-22,2.9,2.92,2.83,2.89,15698000,-0.017006802721088343,-0.5511266155781769,1.3830405771213425,0.7181178412523631,1.0058839926133365,0.6118421052631576,1.1666996931858962,daily
2023-02-23,2.89,2.94,2.84,2.87,10728540,-0.00692041522491349,-0.3165664415849153,0.8378791063589413,0.6453215280453558,0.9941289757026839,0.4312865497076033,0.8879370251321608,daily
2023-02-24,2.84,2.87,2.72,2.82,12814000,-0.017421602787456525,0.19438432442811426,0.7367572675143923,0.3016075530693789,0.9868028213496157,0.2658730158730165,0.7156121144184088,daily
2023-02-27,2.8,2.82,2.69,2.71,14338190,-0.03900709219858156,0.11894724520056199,0.7694182052352109,0.4419624515692644,0.965539971949509,0.07142857142857142,0.665234901027939,daily
2023-02-28,2.72,2.75,2.59,2.63,34424000,-0.029520295202952074,1.4008609175914115,1.0657649974660237,0.42375326730490526,0.9404271992488107,0.0,0.8086191848434595,daily
2023-03-01,2.62,2.78,2.59,2.77,23301574,0.05323193916349811,-0.32310091796421103,1.2144020639104158,1.0482056618796838,0.956282662158972,0.22580645161290339,0.9699108829270849,daily
2023-03-02,2.71,2.74,2.62,2.65,24046000,-0.04332129963898923,0.031947455566735616,1.042001735037315,1.9778850044850156,0.9646824970847252,0.2580645161290324,1.123841462763004,daily
2023-03-03,2.68,2.78,2.64,2.74,25783047,0.03396226415094361,0.07223850120602182,1.0140666551395836,1.8561948161723443,0.9645853346223567,0.20967741935483922,1.233840574611036,daily
2023-03-06,2.7,2.72,2.58,2.64,30868000,-0.03649635036496357,0.19722079395813852,1.0374474928288788,1.484701230789586,0.9680869171204936,0.19354838709677505,1.1652364895947405,daily
2023-03-07,2.63,2.66,2.47,2.51,36410000,-0.04924242424242442,0.17953868083452118,1.1187879538334269,0.811330079669638,0.9381121530021039,0.016129032258064887,1.015496395458538,daily
2023-03-08,2.51,2.51,2.3,2.32,56666952,-0.07569721115537842,0.5563568250480637,1.3567171442090284,0.33127720122123006,0.8959975028645153,0.0,0.9067081434957835,daily
2023-03-09,2.31,2.43,2.25,2.28,43824860,-0.017241379310344862,-0.22662401182262282,1.4086918174524878,0.6905988289143099,0.8723930119468877,0.0,0.9079322093256825,daily
2023-03-10,2.22,2.32,2.19,2.23,32311333,-0.021929824561403466,-0.26271680046439394,1.12992458649724,0.5153224973139839,0.8748823509221338,0.0,0.8266384550895656,daily
2023-03-13,2.23,2.25,2.13,2.17,88770408,-0.026905829596412634,1.7473458925386955,1.4726780421582863,0.0939900464688809,0.8726422220235945,0.0,0.9289185395283484,daily
2023-03-14,2.16,2.22,2.04,2.09,37749046,-0.03686635944700467,-0.5747564210812234,1.503377686430585,0.16806268048764691,0.8633227943786399,0.0,0.9467518577173081,daily
2023-03-15,2.11,2.2,2.08,2.11,30952000,0.009569377990430672,-0.1800587490343465,0.9674628242269198,0.7730395133623428,0.8726763296366373,0.01538461538461539,0.7736512653171739,daily
2023-03-16,2.08,2.17,2.07,2.11,14419370,0.0,-0.5341376970793487,0.708320774641946,0.7853207860575566,0.8991390204223921,0.03076923076923078,0.6971429508495186,daily
2023-03-17,2.15,2.26,2.13,2.22,52718623,0.05213270142180115,2.0,0.9592958314958161,0.6200936842081033,0.9441593687283345,0.13356643356643383,0.8550385698350893,daily
2023-03-20,2.22,2.23,2.08,2.12,20782819,-0.04504504504504503,-0.6057784172397674,1.0572061545502927,1.600223104119729,0.9677573395984949,0.15389610389610445,1.0608524587443506,daily
2023-03-21,2.12,2.19,2.1,2.13,12837291,0.004716981132075304,-0.382312332123953,0.6203401254942555,1.6649351388224294,0.967320066433949,0.12267080745341653,0.9723406179861507,daily
2023-03-22,2.14,2.27,2.14,2.17,21874000,0.018779342723004744,0.7039420544412369,0.6531909056540481,0.7148094756055648,0.9905988392307898,0.29748283752860444,0.873597382632332,daily
2023-03-23,2.15,2.18,2.1,2.14,31214000,-0.013824884792626668,0.42699094815763017,1.0013294888891182,0.5259592257947816,0.9995241257693426,0.3890977443609033,0.8695097140025643,daily
2023-03-24,2.14,2.23,2.05,2.14,42786810,0.0,0.3707570321009803,1.3226102373985935,0.5485591205091225,0.9979060027919965,0.3708791208791222,0.9615374951026603,daily
2023-03-27,2.16,2.19,2.03,2.08,28404000,-0.028037383177570097,-0.3361505566785652,1.253229470615527,0.5135990712136287,0.9880337869544816,0.19230769230769285,0.9319998163112473,daily
2023-03-28,2.1,2.11,2.06,2.08,18904000,0.0,-0.3344599352203915,0.8954620341623696,0.6725253254459697,0.9762966977526035,0.0,0.7730249912635752,daily
2023-03-29,2.11,2.15,2.06,2.11,17342270,0.014423076923076872,-0.08261373254337712,0.6854086329737961,0.5715042770748946,0.983568075117371,0.10714285714285635,0.6781988117243631,daily
2023-03-30,2.1,2.2,2.07,2.16,35651240,0.02369668246445511,1.0557424143436815,0.8583715222430864,0.425770869913907,1.0011599652560172,0.392857142857142,0.7798047582640583,daily
2023-03-31,2.18,2.19,2.01,2.03,51161690,-0.06018518518518534,0.43506060378264544,1.194281122529533,1.2517394294171107,0.9855334398781672,0.2857142857142857,1.0404937835842123,daily
2023-04-03,2.02,2.21,2.02,2.05,31043000,0.009852216748768461,-0.39323740087553793,1.1292075882239878,1.9785370843683183,0.9656909670589902,0.07142857142857142,1.1832126858445533,daily
2023-04-04,2.08,2.08,1.92,1.95,42257905,-0.04878048780487798,0.36127001256321867,1.0268093974919803,1.5891986981107455,0.9522964027230433,0.07142857142857142,1.170050661655547,daily
2023-04-06,1.94,1.95,1.83,1.88,52983282,-0.03589743589743588,0.25380758937292325,1.2101310175295632,0.8159885331724731,0.9221521638392056,0.0,1.048884701641084,daily
2023-04-11,2.0,2.15,1.99,2.12,55163726,0.1276595744680853,0.041153434020942736,1.3180824131081468,1.1248513867467507,0.9704311960298702,0.42857142857142855,1.051006229714016,daily
2023-04-12,2.14,2.2,2.1,2.19,43790852,0.03301886792452824,-0.2061658054062555,1.2378950521247574,1.540237800484649,1.0448294506217826,0.9285714285714286,1.2358232936568432,daily
2023-04-13,2.16,2.18,2.09,2.18,21917054,-0.004566210045662045,-0.4995061068919143,0.9665022199958024,0.7813885950129056,1.0555675486449432,0.9838709677419358,1.1374819598843913,daily
2023-04-14,2.19,2.19,2.08,2.11,19437810,-0.03211009174311941,-0.11311940007995602,0.7413767119762105,0.38225535701339824,1.0330009160801048,0.8548387096774197,0.862903280389898,daily
2023-04-17,2.12,2.12,2.06,2.1,17785361,-0.004739336492890933,-0.0850120975562576,0.6777783449118904,0.3330638931890568,1.0132365432300139,0.7258064516129035,0.7389572986453166,daily
2023-04-18,2.08,2.14,2.0,2.03,24832000,-0.03333333333333344,0.3962044402697251,0.7907548855810485,0.34814449545331494,0.9973003978606592,0.5967741935483872,0.7525390887236499,daily
2023-04-19,2.02,2.02,1.92,1.94,22473192,-0.044334975369458074,-0.0949906572164948,0.9181264206513077,0.24357082767304222,0.9637830306116676,0.33870967741935476,0.7512456992374676,daily
2023-04-20,1.94,1.95,1.86,1.87,29808000,-0.036082474226803996,0.32638033796000143,1.0372680031577928,0.11920319995433318,0.9310278103264786,0.09677419354838722,0.7314625820081719,daily
2023-04-21,1.89,1.95,1.82,1.83,27510000,-0.021390374331550777,-0.07709339774557167,1.1443459832031404,0.25767360301846315,0.9108601974581358,0.0,0.738885537921569,daily
2023-04-24,1.83,1.83,1.77,1.8,20554000,-0.016393442622950838,-0.2528535078153399,0.9991595941897599,0.3262618157274767,0.8980590903248316,0.0,0.6787862986989298,daily
2023-04-25,1.8,1.82,1.75,1.76,12490000,-0.022222222222222254,-0.39233239272161136,0.7375042071637847,0.2834768482838829,0.8904273293361802,0.0,0.5717317320556602,daily
2023-04-26,1.76,1.81,1.69,1.74,27778000,-0.011363636363636354,1.224019215372298,0.8716284509502387,0.451729066644629,0.8936002561524566,0.0,0.6753651618671641,daily
2023-04-27,1.75,1.75,1.69,1.7,20026000,-0.02298850574712641,-0.2790697674418605,1.0048219378106376,0.6625123173591496,0.8995920296960359,0.0,0.792616722532374,daily
2023-04-28,1.71,1.74,1.67,1.68,28501278,-0.0117647058823529,0.42321372216119046,0.9995857180288622,0.7181226848883957,0.9054964172523082,0.0,0.7992964228038157,daily
2023-05-02,1.7,1.75,1.61,1.63,10365084,-0.029761904761904767,-0.6363291498718058,0.8678654060311861,1.0910067731614936,0.9085659766497554,0.0,0.8102822258314032,daily
2023-05-03,1.61,1.62,1.57,1.59,6922695,-0.024539877300613355,-0.3321139510302087,0.509768849928492,1.0357613864594357,0.9065311387415131,0.0,0.7034185541065507,daily
2023-05-04,1.62,1.68,1.6,1.63,28093400,0.025157232704402288,2.0,0.757777259465658,1.3129137273548752,0.9262619029813954,0.07142857142857115,0.9213241039388589,daily
2023-05-05,1.63,1.75,1.63,1.7,53668000,0.042944785276073594,0.9103419308449672,1.5806101412362372,1.2627314349009897,0.9712536886302756,0.3005952380952376,1.2992538394056792,daily
